Rank | Artist | Song | Release Date
1 | Bob Dylan | Like a Rolling Stone | July '65
2 | The Rolling Stones | (I Can't Get No) Satisfaction | May '65
3 | John Lennon | Imagine | Oct. '71
4 | Marvin Gaye | What's Going On | Feb. '71
5 | Aretha Franklin | Respect | April '67
6 | The Beach Boys | Good Vibrations | Oct. '66
7 | Chuck Berry | Johnny B. Goode | April '58
8 | The Beatles | Hey Jude | Aug. '68
9 | Nirvana | Smells Like Teen Spirit | Sept. '91
10 | Ray Charles | What'd I Say | June '59
11 | The Who | My Generation | Nov. '65
12 | Sam Cooke | A Change Is Gonna Come | Dec. '64
13 | The Beatles | Yesterday | Sept. '65
14 | Bob Dylan | Blowin' in the Wind | May '63
15 | The Clash | London Calling | Jan. '80
16 | The Beatles | I Want to Hold Your Hand | Dec. '63
17 | The Jimi Hendrix Experience | Purple Haze | March '67
18 | Chuck Berry | Maybellene | July '55
19 | Elvis Presley | Hound Dog | July '56
20 | The Beatles | Let It Be | March '70
21 | Bruce Springsteen | Born to Run | Aug. '75
22 | The Ronettes | Be My Baby | Aug. '63
23 | The Beatles | In My Life | Dec. '65
24 | The Impressions | People Get Ready | Jan. '65
25 | The Beach Boys | God Only Knows | May '66
26 | Otis Redding | (Sittin' on) the Dock of the Bay | Jan. '68
27 | Derek and the Dominos | Layla | Nov. '70
28 | The Beatles | A Day in the Life | June '67
29 | The Beatles | Help! | July '65
30 | Johnny Cash | I Walk the Line | Aug. '56
31 | Led Zeppelin | Stairway to Heaven | Nov. '71
32 | The Rolling Stones | Sympathy for the Devil | Dec. '68
33 | Ike and Tina Turner | River Deep - Mountain High | May '66
34 | The Righteous Brothers | You've Lost That Lovin' Feelin | Dec. '64
35 | The Doors | Light My Fire | June '67
36 | U2 | One | Nov. '91
37 | Bob Marley | No Woman, No Cry | May '75
38 | The Rolling Stones | Gimme Shelter | April '69
39 | Buddy Holly and the Crickets | That'll Be the Day | May '57
40 | Martha Reeves and the Vandellas | Dancing in the Street | Sept. '64
41 | The Band | The Weight | Aug. '68
42 | The Kinks | Waterloo Sunset | Feb. '68
43 | Little Richard | Tutti-Frutti | Dec. '55
44 | Ray Charles | Georgia on My Mind | Sept. '60
45 | Elvis Presley | Heartbreak Hotel | Jan. '56
46 | David Bowie | Heroes | Sept. '77
47 | The Jimi Hendrix Experience | All Along the Watchtower | Sept. '68
48 | Simon and Garfunkel | Bridge Over Troubled Water | Feb. '70
49 | The Eagles | Hotel California | Dec. '76
50 | Smokey Robinson and the Miracles | The Tracks of My Tears | June '65
51 | Grandmaster Flash and the Furious Five | The Message | May '82
52 | Prince | When Doves Cry | June '84
53 | Percy Sledge | When a Man Loves a Woman | March '66
54 | The Kingsmen | Louie Louie | June '63
55 | Little Richard | Long Tall Sally | March '56
56 | The Sex Pistols | Anarchy in the U.K. | Nov. '77
57 | Procol Harum | Whiter Shade of Pale | June '67
58 | Michael Jackson | Billie Jean | Jan. '83
59 | Bob Dylan | The Times They Are A-Changin | Jan. '64
60 | Al Green | Let's Stay Together | Dec. '71
61 | Jerry Lee Lewis | Whole Lotta Shakin' Going On | June '57
62 | Bo Diddley | Bo Diddley | June '55
63 | Buffalo Springfield | For What It's Worth | Feb. '67
64 | The Beatles | She Loves You | Sept. '63
65 | Cream | Sunshine of Your Love | Jan. '68
66 | Bob Marley and the Wailers | Redemption Song | June '80
67 | Elvis Presley | Jailhouse Rock | Oct. '57
68 | Bob Dylan | Tangled Up in Blue | Jan. '75
69 | Roy Orbison | Crying | Aug. '61
70 | Dionne Warwick | Walk On By | April '64
71 | James Brown | Papa's Got A Brand New Bag | July '66
72 | The Beach Boys | California Girls | July '65
73 | Stevie Wonder | Superstition | Nov. '72
74 | Eddie Cochran | Summertime Blues | July '58
75 | Led Zeppelin | Whole Lotta Love | Oct. '69
76 | The Beatles | Strawberry Fields Forever | Feb. '67
77 | Elvis Presley | Mystery Train | Sept. '55
78 | James Brown | I Got You (I Feel Good) | Nov. '65
79 | The Byrds | Mr. Tambourine Man | May '65
80 | The Kinks | You Really Got Me | Sept. '64
81 | Marvin Gaye | I Heard It Through the Grapevine | Oct. '68
82 | Fats Domino | Blueberry Hill | Oct. '56
83 | The Beatles | Norwegian Wood (This Bird Has Flown) | Dec. '65
84 | The Police | Every Breath You Take | May '83
85 | Patsy Cline | Crazy | Oct. '61
86 | Bruce Springsteen | Thunder Road | Aug. '75
87 | Johnny Cash | Ring of Fire | May '63
88 | The Temptations | My Girl | Jan. '65
89 | The Mamas and the Papas | California Dreamin | Dec. '65
90 | The Five Satins | In the Still of the Night | Sept. '56
91 | Elvis Presley | Suspicious Minds | Sept. '69
92 | Ramones | Blitzkrieg Bop | May '76
93 | U2 | I Still Haven't Found What I'm Looking For | May '87
94 | Little Richard | Good Golly, Miss Molly | Feb. '58
95 | Carl Perkins | Blue Suede Shoes | Feb '56
96 | Jerry Lee Lewis | Great Balls of Fire | Nov. '57
97 | Chuck Berry | Roll Over Beethoven | May '56
98 | Al Green | Love and Happiness | June '72
99 | Creedence Clearwater Revival | Fortunate Son | Oct. '69
100 | Gnarls Barkley | Crazy | May '06
101 | The Rolling Stones | You Can't Always Get What You Want | July '69
102 | The Jimi Hendrix Experience | Voodoo Child (Slight Return) | Oct. '68
103 | Gene Vincent and His Blue Caps | Be-Bop-A-Lula | May '56
104 | Donna Summer | Hot Stuff | April '79
105 | Stevie Wonder | Living for the City | August '7
106 | Simon and Garfunkel | The Boxer | April '69
107 | Bob Dylan | Mr. Tambourine Man | March '65
108 | Buddy Holly and the Crickets | Not Fade Away | Oct. '57
109 | Prince | Little Red Corvette | March '83
110 | Van Morrison | Brown Eyed Girl | June '67
111 | Otis Redding | I've Been Loving You too Long (to Stop Now) | April '65
112 | Hank Williams | I'm So Lonesome I Could Cry | Nov. '49
113 | Elvis Presley | That's All Right | Aug. '54
114 | The Drifters | Up on the Roof | Nov. '62
115 | Sam Cooke | You Send Me | Oct. '57
116 | The Rolling Stones | Honky Tonk Women | July '69
117 | Al Green | Take Me to the River | Nov. '74
118 | Beyonce feat. Jay-Z | Crazy in Love | May '03
119 | The Isley Brothers | Shout (Parts 1 and 2) | Sept. '59
120 | Fleetwood Mac | Go Your Own Way | Jan. '77
121 | The Jackson 5 | I Want You Back | Nov. '69
122 | Ben E. King | Stand By Me | April '61
123 | The Animals | The House of the Rising Sun | July '64
124 | James Brown | It's A Man's Man's Man's World | April '66
125 | The Rolling Stones | Jumpin' Jack Flash | May '68
126 | The Shirelles | Will You Love Me Tomorrow | Nov. '60
127 | Big Joe Turner | Shake, Rattle &amp; Roll | April '54
128 | David Bowie | Changes | Dec. '71
129 | Chuck Berry | Rock &amp; Roll Music | Sept. '57
130 | Steppenwolf | Born to Be Wild | Jan. '68
131 | Rod Stewart | Maggie May | June '71
132 | U2 | With or Without You | March '87
133 | Bo Diddley | Who Do You Love? | March '57
134 | The Who | Won't Get Fooled Again | July '71
135 | Wilson Pickett | In the Midnight Hour | July '65
136 | The Beatles | While My Guitar Gently Weeps | Nov. '68
137 | Elton John | Your Song | Nov. '70
138 | The Beatles | Eleanor Rigby | Aug. '66
139 | Sly and the Family Stone | Family Affair | Oct. '71
140 | The Beatles | I Saw Her Standing There | Jan. '64
141 | Led Zeppelin | Kashmir | March '75
142 | The Everly Brothers | All I Have to Do Is Dream | May '58
143 | James Brown and His Famous Flames | Please, Please, Please | Feb. '56
144 | Prince and the Revolution | Purple Rain | June '84
145 | Ramones | I Wanna Be Sedated | Oct. '78
146 | Sly and the Family Stone | Everyday People | Nov. '68
147 | The B-52&#8217;s | Rock Lobster | July '79
148 | Janis Joplin | Me and Bobby McGee | Jan. '71
149 | Iggy Pop | Lust for Life | Sept. '77
150 | The Everly Brothers | Cathy's Clown | April '60
151 | The Byrds | Eight Miles High | April '66
152 | The Penguins | Earth Angel | Dec. '54
153 | The Jimi Hendrix Experience | Foxey Lady | Aug. '65
154 | The Beatles | A Hard Day's Night | July '64
155 | Buddy Holly and the Crickets | Rave On | April '58
156 | Creedence Clearwater Revival | Proud Mary | Jan. '69
157 | Simon and Garfunkel | The Sounds of Silence | Nov. '65
158 | The Flamingos | I Only Have Eyes for You | April '59
159 | Bill Haley and His Comets | (We're Gonna) Rock Around the Clock | May '54
160 | U2 | Moment of Surrender | March '09
